context,question,answer,context_length,question_length,answer_length
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,Which country did Sebastian Kehl represent?,Sebastian Kehl,10,6,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,For which club did Sebastian Kehl last play?,Borussia Dortmund,10,8,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,Which country did Sebastian Kehl represent?,Sebastian Kehl,10,6,2
Sebastian Kehl played for Borussia Dortmund during the 2014 season.,For which club did Sebastian Kehl last play?,Borussia Dortmund,10,8,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What was the last known club of Levan Kobiashvili?,Hertha BSC,10,9,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,For which club did Levan Kobiashvili last play?,Hertha BSC,10,8,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What is Levan Kobiashvili's full name?,Levan Kobiashvili,10,6,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,For which club did Levan Kobiashvili last play?,Hertha BSC,10,8,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,For which club did Levan Kobiashvili last play?,Hertha BSC,10,8,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What is Levan Kobiashvili's full name?,Levan Kobiashvili,10,6,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What was the market value of Levan Kobiashvili during their last season?,Unknown,10,12,1
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What was the market value of Levan Kobiashvili during their last season?,Unknown,10,12,1
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What was the last known club of Levan Kobiashvili?,Hertha BSC,10,9,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What is Levan Kobiashvili's full name?,Levan Kobiashvili,10,6,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,What was the last known club of Levan Kobiashvili?,Hertha BSC,10,9,2
Levan Kobiashvili played for Hertha BSC during the 2013 season.,For which club did Levan Kobiashvili last play?,Hertha BSC,10,8,2
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,In which year did Oka Nikolov retire?,2012,12,7,1
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the market value of Oka Nikolov during their last season?,Unknown,12,12,1
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the market value of Oka Nikolov during their last season?,Unknown,12,12,1
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the market value of Oka Nikolov during their last season?,Unknown,12,12,1
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,In which year did Oka Nikolov retire?,2012,12,7,1
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,Which country did Oka Nikolov represent?,Oka Nikolov,12,6,2
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the market value of Oka Nikolov during their last season?,Unknown,12,12,1
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,What is Oka Nikolov's full name?,Oka Nikolov,12,6,2
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,What was the market value of Oka Nikolov during their last season?,Unknown,12,12,1
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,For which club did Oka Nikolov last play?,Eintracht Frankfurt Fußball AG,12,8,4
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,What is Oka Nikolov's full name?,Oka Nikolov,12,6,2
Oka Nikolov played for Eintracht Frankfurt Fußball AG during the 2012 season.,In which year did Oka Nikolov retire?,2012,12,7,1
